Player,ESPN_Player_ID,Representative_Team,Photo_URL,ESPN_Profile_URL
CK Langeveldt,d1c94b25,Kolkata Knight Riders,https://a.espncdn.com/i/headshots/cricket/players/full/d1c94b25.png,https://www.espncricinfo.com/cricketers/ck-langeveldt-d1c94b25
CL White,d0513f63,Deccan Chargers,https://a.espncdn.com/i/headshots/cricket/players/full/d0513f63.png,https://www.espncricinfo.com/cricketers/cl-white-d0513f63
CM Gautam,30a2649b,Delhi Daredevils,https://a.espncdn.com/i/headshots/cricket/players/full/30a2649b.png,https://www.espncricinfo.com/cricketers/cm-gautam-30a2649b
CR Brathwaite,e342e5fb,Delhi Daredevils,https://a.espncdn.com/i/headshots/cricket/players/full/e342e5fb.png,https://www.espncricinfo.com/cricketers/cr-brathwaite-e342e5fb
CR Woakes,4c5d73db,Delhi Capitals,https://a.espncdn.com/i/headshots/cricket/players/full/4c5d73db.png,https://www.espncricinfo.com/cricketers/cr-woakes-4c5d73db
CRD Fernando,342d8ade,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/342d8ade.png,https://www.espncricinfo.com/cricketers/crd-fernando-342d8ade
CV Varun,5b7ab5a9,Kings XI Punjab,https://a.espncdn.com/i/headshots/cricket/players/full/5b7ab5a9.png,https://www.espncricinfo.com/cricketers/cv-varun-5b7ab5a9
D Brevis,844e79d1,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/844e79d1.png,https://www.espncricinfo.com/cricketers/d-brevis-844e79d1
D Ferreira,f0af99a7,Delhi Capitals,https://a.espncdn.com/i/headshots/cricket/players/full/f0af99a7.png,https://www.espncricinfo.com/cricketers/d-ferreira-f0af99a7
D Jansen,8dc152d1,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/8dc152d1.png,https://www.espncricinfo.com/cricketers/d-jansen-8dc152d1
D Kalyankrishna,94bc776b,Deccan Chargers,https://a.espncdn.com/i/headshots/cricket/players/full/94bc776b.png,https://www.espncricinfo.com/cricketers/d-kalyankrishna-94bc776b
D Madushanka,de7d833e,Sunrisers Hyderabad,https://a.espncdn.com/i/headshots/cricket/players/full/de7d833e.png,https://www.espncricinfo.com/cricketers/d-madushanka-de7d833e
D Padikkal,2c25d4f5,Lucknow Super Giants,https://a.espncdn.com/i/headshots/cricket/players/full/2c25d4f5.png,https://www.espncricinfo.com/cricketers/d-padikkal-2c25d4f5
D Pretorius,11614d87,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/11614d87.png,https://www.espncricinfo.com/cricketers/d-pretorius-11614d87
D Salunkhe,0264c10e,Rajasthan Royals,https://a.espncdn.com/i/headshots/cricket/players/full/0264c10e.png,https://www.espncricinfo.com/cricketers/d-salunkhe-0264c10e
D Wiese,aa8d28ae,Kolkata Knight Riders,https://a.espncdn.com/i/headshots/cricket/players/full/aa8d28ae.png,https://www.espncricinfo.com/cricketers/d-wiese-aa8d28ae
D du Preez,d7a57f75,Royal Challengers Bangalore,https://a.espncdn.com/i/headshots/cricket/players/full/d7a57f75.png,https://www.espncricinfo.com/cricketers/d-du-preez-d7a57f75
DA Miller,d67d5f00,Delhi Capitals,https://a.espncdn.com/i/headshots/cricket/players/full/d67d5f00.png,https://www.espncricinfo.com/cricketers/da-miller-d67d5f00
