Venue Rank by Matches,venue,city,matches,seasons_played,first_innings,avg_first_innings_score,avg_second_innings_score,highest_first_innings_score,lowest_first_innings_score,highest_second_innings_score,lowest_second_innings_score,batting_first_wins,chasing_wins,no_results,avg_total_match_runs,avg_total_match_wickets,avg_first_innings_overs,avg_second_innings_overs,batting_first_win_pct,chasing_win_pct,venue_label
55,Nehru Stadium,Kochi,5,1,5,146.8,125.8,161,129,162.0,74.0,3,2,0,272.6,12.4,19.4,17.64,60.0,40.0,Nehru Stadium
56,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,5,1,5,197.8,173.4,257,153,216.0,146.0,3,2,0,371.2,12.0,20.0,18.34,60.0,40.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
57,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,4,2,4,208.75,178.5,272,163,211.0,166.0,2,2,0,387.25,14.5,19.6,18.12,50.0,50.0,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
58,Green Park,Kanpur,4,2,4,161.25,163.25,195,124,197.0,125.0,0,4,0,324.5,12.25,19.8,17.08,0.0,100.0,Green Park
59,Buffalo Park,East London,3,1,3,147.33,119.0,178,116,139.0,100.0,2,1,0,266.33,12.67,20.0,17.63,66.67,33.33,Buffalo Park
60,De Beers Diamond Oval,Kimberley,3,1,3,158.0,141.0,168,140,169.0,113.0,1,2,0,299.0,13.0,20.0,19.0,33.33,66.67,De Beers Diamond Oval
61,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,3,1,3,149.33,144.67,159,138,157.0,138.0,2,1,0,294.0,16.0,19.83,19.33,66.67,33.33,"Vidarbha Cricket Association Stadium, Jamtha"
62,OUTsurance Oval,Bloemfontein,2,1,2,135.0,129.5,150,120,136.0,123.0,1,1,0,264.5,12.5,20.0,19.55,50.0,50.0,OUTsurance Oval
63,"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,2,1,2,179.0,180.5,192,166,194.0,167.0,0,2,0,359.5,11.5,20.0,19.55,0.0,100.0,"Shaheed Veer Narayan Singh International Stadium, Raipur"
64,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,1,1,1,101.0,106.0,101,101,106.0,106.0,0,1,0,207.0,12.0,14.1,10.0,0.0,100.0,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
